Query,Response,Intent
"What are the admission requirements for computer science?","To be eligible for the BSc in Computer Science, you need a minimum of 60% in Mathematics and must meet the general university admission requirements.",Admissions
"When is the application deadline for next year?","The application deadline for the next academic year is typically in September. Please check our website for the exact date.",Admissions
"Can I apply online for undergraduate studies?","Yes, you can apply online through our official website. The online application portal is available for all undergraduate programs.",Admissions
"What documents are required for admissions?","You will need to submit a certified copy of your ID, academic transcripts, and proof of payment for the application fee.",Admissions
"What is the minimum grade to get into the university?","The minimum admission requirement is a National Senior Certificate (NSC) with at least 50% in English and 60% in the required subjects for your chosen field.",Admissions
"How much is the tuition for a first-year student?","Tuition fees for first-year students vary by program, typically ranging from R30,000 to R50,000 per year.",Fees
"Are there scholarships available for computer science students?","Yes, scholarships are available based on academic merit and financial need. You can apply through the Financial Aid Office.",Fees
"What is the cost of accommodation per semester?","On-campus accommodation costs approximately R15,000 per semester, depending on the type of room and facilities.",Fees
"Can I apply for financial aid?","Yes, financial aid is available for eligible students through NSFAS and other scholarship programs. Applications are done online.",Fees
"How much are the application fees?","The non-refundable application fee is R100 for South African students and R300 for international students.",Fees
"Does the university have on-campus accommodation?","Yes, Sol Plaatje University offers on-campus accommodation for students, but spaces are limited, so early application is encouraged.",Campus Life
"Are there any student clubs and societies?","Yes, we have various student clubs and societies, including sports, arts, and academic groups. You can join during orientation week.",Campus Life
"How do I get involved in student events?","Student events are advertised through the Student Affairs Office. Keep an eye on the events calendar and student portal for updates.",Campus Life
"What is the best way to find off-campus housing?","You can find off-campus housing through the university’s Off-Campus Accommodation Office, which provides a list of approved landlords.",Campus Life
"Is there a gym or fitness center on campus?","Yes, the university has a gym facility that is available to all students. Membership is included in your registration fees.",Campus Life
"What undergraduate programs are offered?","We offer a range of undergraduate programs in fields such as Education, Humanities, Social Sciences, and Natural and Applied Sciences.",Courses
"Does the university offer part-time study options?","Yes, some programs allow for part-time study. You can contact the specific department to confirm availability for your course of interest.",Courses
"How do I register for courses online?","Course registration is done through the university’s online student portal. Detailed instructions will be provided after admission.",Courses
"What is the duration of the computer science program?","The BSc in Computer Science is a 3-year program if completed full-time. Part-time options may extend this duration.",Courses
"Are there any postgraduate programs available?","Yes, we offer postgraduate programs in various fields, including Honours and Master’s degrees. You can view the full list on our website.",Courses
"How do I contact the admissions office?","You can contact the Admissions Office via email at admissions@spu.ac.za or call +27 53 491 0000.",Contact Information
"What is the phone number for the finance department?","The Finance Department can be reached at +27 53 491 0123 or via email at finance@spu.ac.za.",Contact Information
"Where can I find the registrar’s office?","The Registrar's Office is located in Building C on the Main Campus. You can also contact them via registrar@spu.ac.za.",Contact Information
"How do I get in touch with the student housing office?","The Student Housing Office can be contacted at +27 53 491 0105 or housing@spu.ac.za.",Contact Information
"Is there a helpline for international students?","Yes, international students can contact the International Office at international@spu.ac.za or call +27 53 491 0111.",Contact Information
"When was Sol Plaatje University established?","Sol Plaatje University was established in 2014 as one of the first new universities launched in South Africa since 1994.",General Information
"Where is the main campus located?","The main campus is located in Kimberley, Northern Cape. The address is Chapel Street, Kimberley, 8301.",General Information
"How do I access the library?","The library is accessible to all registered students. You can use your student card to gain entry and access library resources online via the student portal.",General Information
"What are the university's core values?","Sol Plaatje University's core values include excellence, inclusivity, innovation, and social responsibility, guiding our teaching, research, and engagement.",General Information
"What facilities are available at the university?","The university offers a variety of facilities, including lecture halls, a library, student residences, computer labs, sports grounds, and a gym.",General Information
"What are the orientation dates for new students?","Orientation for new students typically takes place in late January. Please check the university's website for the exact dates.",Campus Life
"Are there any career services available for students?","Yes, the university offers career services to assist students with job placements, internships, and resume writing workshops.",Campus Life
"How can I access mental health support services?","Mental health support services are available through the Student Wellness Center. You can schedule an appointment by visiting their office or calling them.",Campus Life
"What is the process for changing my major?","To change your major, you need to submit a formal request to the Registrar’s Office and meet with an academic advisor to discuss your options.",Courses
"Are there opportunities for research as an undergraduate student?","Yes, undergraduate students can participate in research projects with faculty members. Check with your department for available opportunities.",Courses
"What kind of extracurricular activities can I join?","The university offers a wide range of extracurricular activities, including sports teams, academic clubs, and cultural societies. You can find more information on the student portal.",Campus Life
"Is there a bookstore on campus?","Yes, there is a campus bookstore where you can purchase textbooks, supplies, and university merchandise.",General Information
"How do I apply for residence on campus?","To apply for residence, you need to complete the housing application form available on the university’s website after you have been accepted.",Campus Life
"What are the library hours during exam periods?","During exam periods, the library extends its hours to accommodate students. Check the library’s website for specific hours.",General Information
"What support does the university offer for international students?","The International Office provides various support services, including visa assistance, orientation programs, and cultural integration activities.",Contact Information
"How can I find internship opportunities?","Internship opportunities are posted on the university’s career services portal. You can also reach out to your department for specific leads.",Courses
